R,PR,Position,Name,Team,RBBR,FF Projection
380,148,WR,A.T. Perry,NO,6.3,Bench Depth,Dynasty
279,108,WR,Aaron Anderson,LSU,6.5,Bench Depth,Devy
154,45,RB,Aaron Jones,MIN,7.0,Flex Filler,Dynasty
157,38,QB,Aaron Rodgers,NYJ,6.9,Flex Filler,Dynasty
278,107,WR,Adam Randall,Clemson,6.5,Bench Depth,Devy
291,112,WR,Adam Thielen,CAR,6.5,Bench Depth,Dynasty
136,51,WR,Adonai Mitchell,Texas,7.1,Weekly Starter,Rookie
417,84,QB,Aidan O'Connell,LVR,6.1,Bench Depth,Dynasty
389,156,WR,Ainias Smith,Texas A&M,6.2,Bench Depth,Rookie
277,60,QB,Air Noland,Ohio State,6.5,Flex Filler,Devy
499,65,TE,AJ Barner,Michigan,5.9,Taxi Squad Stash,Rookie
13,5,WR,AJ Brown,PHI,8.5,Franchise Cornerstone,Dynasty
595,161,RB,AJ Dillon,GB,5.4,Waiver Wire Warrior,Dynasty
341,136,WR,Alec Pierce,IND,6.3,Bench Depth,Dynasty
290,86,RB,Alexander Mattison,LVR,6.5,Bench Depth,Dynasty
335,131,WR,Allen Lazard,NYJ,6.3,Bench Depth,Dynasty
532,145,RB,Alton McCaskill,Colorado,5.8,Taxi Squad Stash,Devy
59,11,RB,Alvin Kamara,NO,7.8,Weekly Starter,Dynasty
96,41,WR,Amari Cooper,CLE,7.4,Weekly Starter,Dynasty
17,6,WR,Amon-Ra St. Brown,DET,8.5,League Winner,Dynasty
419,171,WR,Andrei Iosivas,CIN,6.1,Bench Depth,Dynasty
365,103,RB,Andrew Paul,Georgia,6.3,Bench Depth,Devy
426,176,WR,Anthony Gould,Oregon State,6.1,Bench Depth,Rookie
16,8,QB,Anthony Richardson,IND,8.5,League Winner,Dynasty
205,60,RB,Antonio Gibson,NE,6.7,Flex Filler,Dynasty
250,95,WR,Antonio Williams,Clemson,6.6,Flex Filler,Devy
