R,PR,Position,Name,Team,RBBR,FF Projection
372,148,WR,A.T. Perry,NO,6.3,Bench Depth,Dynasty
282,109,WR,Aaron Anderson,LSU,6.5,Flex Filler,Devy
163,44,RB,Aaron Jones,MIN,7.0,Flex Filler,Dynasty
167,42,QB,Aaron Rodgers,NYJ,6.9,Flex Filler,Dynasty
281,108,WR,Adam Randall,Clemson,6.5,Flex Filler,Devy
299,119,WR,Adam Thielen,CAR,6.5,Bench Depth,Dynasty
155,62,WR,Adonai Mitchell,Texas,7,Weekly Starter,Rookie
407,84,QB,Aidan O'Connell,LVR,6.1,Bench Depth,Dynasty
309,127,WR,Ainias Smith,Texas A&M,6.4,Bench Depth,Rookie
268,63,QB,Air Noland,Ohio State,6.6,Flex Filler,Devy
497,65,TE,AJ Barner,Michigan,5.9,Taxi Squad Stash,Rookie
13,5,WR,AJ Brown,PHI,8.5,Franchise Cornerstone,Dynasty
604,161,RB,AJ Dillon,GB,5.4,Waiver Wire Warrior,Dynasty
345,140,WR,Alec Pierce,IND,6.3,Bench Depth,Dynasty
272,79,RB,Alexander Mattison,FA,6.6,Flex Filler,Dynasty
338,135,WR,Allen Lazard,NYJ,6.3,Bench Depth,Dynasty
540,141,RB,Alton McCaskill,Colorado,5.8,Taxi Squad Stash,Devy
49,11,RB,Alvin Kamara,NO,8.0,Weekly Starter,Dynasty
81,36,WR,Amari Cooper,CLE,7.6,Weekly Starter,Dynasty
16,6,WR,Amon-Ra St. Brown,DET,8.5,League Winner,Dynasty
408,166,WR,Andrei Iosivas,CIN,6.1,Bench Depth,Dynasty
579,225,WR,Andrew Armstrong,Arkansas,5.6,Taxi Squad Stash,Rookie
354,98,RB,Andrew Paul,Georgia,6.3,Bench Depth,Devy
492,203,WR,Anthony Gould,Oregon State,5.9,Taxi Squad Stash,Rookie
15,8,QB,Anthony Richardson,IND,8.5,League Winner,Dynasty
220,65,RB,Antonio Gibson,NE,6.7,Flex Filler,Dynasty
238,89,WR,Antonio Williams,Clemson,6.6,Flex Filler,Devy
392,81,QB,Antwane Wells Jr.,Mississippi,6.2,Bench Depth,Devy
144,34,QB,Arch Manning,Texas,7.1,Weekly Starter,Devy
253,69,RB,Ashton Jeanty,Boise State,6.6,Flex Filler,Devy
356,100,RB,Audric Estime,Notre Dame,6.3,Bench Depth,Rookie
79,17,RB,Austin Ekeler,WAS,7.7,Weekly Starter,Dynasty
555,82,TE,Austin Hooper,NE,5.8,Taxi Squad Stash,Dynasty
362,77,QB,Austin Novosad,Oregon,6.3,Bench Depth,Devy
575,110,QB,Austin Reed,Western Kentucky,5.7,Taxi Squad Stash,Rookie
611,97,TE,Austin Stogner,Oklahoma,5.4,Waiver Wire Warrior,Rookie
179,43,QB,Avery Johnson,Kansas State,6.9,Flex Filler,Devy
576,111,QB,Bailey Zappe,NE,5.7,Taxi Squad Stash,Dynasty
135,32,QB,Baker Mayfield,TB,7.1,Weekly Starter,Dynasty
237,88,WR,Barion Brown,Kentucky,6.6,Flex Filler,Devy
283,110,WR,Beaux Collins,Notre Dame,6.5,Flex Filler,Devy
251,27,TE,Ben Sinnot,Kansas State,6.6,Flex Filler,Rookie
11,1,RB,Bijan Robinson,ATL,8.6,Franchise Cornerstone,Dynasty
125,31,RB,Blake Corum,Michigan,7.2,Weekly Starter,Rookie
594,114,QB,Blake Shapen,Mississippi State,5.5,Waiver Wire Warrior,Devy
548,149,RB,Blake Watson,Memphis,5.8,Taxi Squad Stash,Rookie
207,51,QB,Bo Nix,Oregon,6.8,Flex Filler,Rookie
61,14,RB,Braelon Allen,Wisconsin,7.8,Weekly Starter,Rookie
308,126,WR,Brandin Cooks,DAL,6.4,Bench Depth,Dynasty
66,28,WR,Brandon Aiyuk,SF,7.7,Weekly Starter,Dynasty
240,91,WR,Brandon Innis,Ohio State,6.6,Flex Filler,Devy
175,50,RB,Branson Robinson,Georgia,6.9,Flex Filler,Devy
531,75,TE,Brant Kuithe,Utah,5.8,Taxi Squad Stash,Rookie
14,2,RB,Breece Hall,NYJ,8.5,League Winner,Dynasty
456,188,WR,Brenden Rice,USC,6,Bench Depth,Rookie
616,124,QB,Brennan Armstrong,NC State,5.4,Waiver Wire Warrior,Rookie
495,63,TE,Brevyn Spann-Ford,Minnesota,5.9,Taxi Squad Stash,Rookie
130,34,RB,Brian Robinson Jr.,WAS,7.2,Weekly Starter,Dynasty
72,32,WR,Brian Thomas Jr.,LSU,7.7,Weekly Starter,Rookie
34,2,TE,Brock Bowers,Georgia,8.2,League Winner,Rookie
76,18,QB,Brock Purdy,SF,7.7,Weekly Starter,Dynasty
435,87,QB,Brock Vandagriff,Kentucky,6.1,Bench Depth,Devy
627,99,TE,Brock Wright,DET,5.2,Waiver Wire Warrior,Dynasty
520,207,WR,Bru McCoy,Tennessee,5.8,Taxi Squad Stash,Devy
154,61,WR,Bryant Wesco,Clemson,7,Weekly Starter,Devy
89,21,QB,Bryce Young,CAR,7.6,Weekly Starter,Dynasty
498,66,TE,Bryson Nesbit,North Carolina,5.9,Taxi Squad Stash,Rookie
490,201,WR,Bub Means,Pittsburgh,5.9,Taxi Squad Stash,Rookie
317,90,RB,Bucky Irving,Oregon,6.4,Bench Depth,Rookie
541,142,RB,Byron Cardwell,California,5.8,Taxi Squad Stash,Devy
159,40,QB,Cade Klubnik,Clemson,7,Weekly Starter,Devy
209,20,TE,Cade Otton,TB,6.8,Flex Filler,Dynasty
199,19,TE,Cade Stover,Ohio State,6.8,Flex Filler,Rookie
424,53,TE,Caleb Odom,Alabama,6.1,Bench Depth,Devy
10,6,QB,Caleb Williams,USC,8.6,Franchise Cornerstone,Rookie
403,164,WR,Calvin Austin III,PIT,6.1,Bench Depth,Dynasty
111,47,WR,Calvin Ridley,TEN,7.3,Weekly Starter,Dynasty
589,159,RB,Cam Akers,MIN,5.5,Waiver Wire Warrior,Dynasty
115,51,WR,Cam Coleman,Auburn,7.3,Weekly Starter,Devy
538,139,RB,Camar Wheaton,SMU,5.8,Taxi Squad Stash,Devy
481,61,TE,Cameron Latu,SF,5.9,Taxi Squad Stash,Dynasty
114,50,WR,Carnell Tate,Ohio State,7.3,Weekly Starter,Devy
106,24,QB,Carson Beck,Georgia,7.4,Weekly Starter,Devy
581,156,RB,Carson Steele,UCLA,5.6,Taxi Squad Stash,Rookie
515,103,QB,Carter Bradley,South Alabama,5.9,Taxi Squad Stash,Rookie
389,42,TE,Carter Nelson,Nebraska,6.2,Bench Depth,Devy
124,30,RB,Cedric Baxter Jr.,Texas,7.2,Weekly Starter,Devy
329,130,WR,Cedric Tillman,CLE,6.4,Bench Depth,Dynasty
4,1,WR,CeeDee Lamb,DAL,9.2,Generational,Dynasty
595,115,QB,Chandler Morris,North Texas,5.5,Waiver Wire Warrior,Devy
375,149,WR,Charlie Jones,CIN,6.2,Bench Depth,Dynasty
212,63,RB,Chase Brown,CIN,6.7,Flex Filler,Dynasty
312,33,TE,Chigoziem Okonkwo,TEN,6.4,Bench Depth,Dynasty
133,53,WR,Chris Godwin,TB,7.1,Weekly Starter,Dynasty
381,155,WR,Chris Marshall,Mississippi,6.2,Bench Depth,Devy
33,13,WR,Chris Olave,NO,8.2,League Winner,Dynasty
149,56,WR,Christian Kirk,JAC,7.1,Weekly Starter,Dynasty
561,218,WR,Christian Leary,Georgia Tech,5.7,Taxi Squad Stash,Devy
19,3,RB,Christian McCaffrey,SF,8.4,League Winner,Dynasty
150,57,WR,Christian Watson,GB,7.0,Weekly Starter,Dynasty
608,164,RB,Christopher Rodriguez,WAS,5.4,Waiver Wire Warrior,Dynasty
267,62,QB,Christopher Vizzina,Clemson,6.6,Flex Filler,Devy
164,45,RB,Chuba Hubbard,CAR,6.9,Flex Filler,Dynasty
181,45,QB,CJ Carr,Notre Dame,6.9,Flex Filler,Devy
355,99,RB,CJ Donaldson,West Virginia,6.3,Bench Depth,Devy
12,7,QB,CJ Stroud,HOU,8.6,Franchise Cornerstone,Dynasty
414,172,WR,CJ Williams,USC,6.1,Bench Depth,Devy
